Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1021,Data Analytics ,171,4154,$184.23 ,30,7,0.041,"$1,803 ",11/8/2024,Hyderabad,Tablet,Data Analitics Online
A1022,Data Analytcis ,122,5187,$211.24 ,27,6,0.049,"$1,322 ",11/20/2024,Hyderabad,Desktop,Online Data Analytic
A1023,Data analytics ,188,5798,$230.17 ,28,5,0.047,"$1,452 ",30-11-2024,Hyderabad,Tablet,Data Analytics Course
A1024,DataAnalytics,87,3718,NA,12,3,0.034,"$1,652 ",20-11-2024,Hyderabad,Tablet,Learn Data Analytics
A1025,DataAnalytics,88,3349,$181.92 ,22,8,0.091,"$1,456 ",11/20/2024,Hyderabad,Tablet,Learn Data Analytics
A1026,Data analytics ,119,5323,$205.92 ,17,10,0.06,"$1,656 ",11/2/2024,Hyderabad,Desktop,Online Data Analytic
A1027,Data Analytics ,NA,5286,$234.89 ,22,10,NA,"$1,688 ",11/21/2024,Hyderabad,Desktop,Data Anaytics Training
A1028,Data analytics ,128,5469,$188.49 ,16,3,NA,"$1,783 ",11/23/2024,Hyderabad,Mobile,Learn Data Analytics
A1029,Data Analytcis ,86,3351,$237.75 ,21,9,0.105,"$1,975 ",11/13/2024,Hyderabad,Mobile,Analytics For Data
A1030,Data Analytics ,188,4834,$213.58 ,15,4,0.021,"$1,590 ",11/8/2024,Hyderabad,Tablet,Online Data Analytic
A1031,DataAnalytics,113,5065,$212.37 ,11,5,NA,"$1,111 ",22-11-2024,Hyderabad,Desktop,Online Data Analytic
A1032,Data Analytcis ,NA,3872,$244.38 ,20,4,NA,"$1,041 ",12/11/2024,Hyderabad,Tablet,Data Analitics Online
A1033,Data Analytics ,176,5509,$234.59 ,19,7,0.054,"$1,710 ",11/3/2024,Hyderabad,Tablet,Data Analytics Course
A1034,Data Analytcis ,121,5610,$214.96 ,23,8,NA,NA,11/25/2024,Hyderabad,Mobile,Data Analytics Course
A1035,DataAnalytics,104,5275,$236.48 ,16,9,0.031,"$1,824 ",1/11/2024,Hyderabad,Desktop,Data Anaytics Training
A1036,Data analytics ,146,5939,$242.90 ,11,8,0.035,"$1,833 ",11/7/2024,Hyderabad,Desktop,Data Anaytics Training
A1037,Data Analytcis ,123,5131,NA,19,5,0.041,"$1,307 ",9/11/2024,Hyderabad,Mobile,Learn Data Analytics
A1038,Data Analytcis ,90,5786,$197.55 ,11,6,0.043,"$1,704 ",16-11-2024,Hyderabad,Mobile,Online Data Analytic
A1039,Data Analytcis ,171,4304,$192.61 ,17,10,0.058,"$1,427 ",11/26/2024,Hyderabad,Mobile,Learn Data Analytics
A1040,Data Analytics ,94,5549,$231.23 ,25,9,0.096,"$1,849 ",11/12/2024,Hyderabad,Mobile,Data Anaytics Training
A1041,Data Analytics ,112,4271,$196.07 ,27,6,NA,"$1,209 ",11/14/2024,Hyderabad,Desktop,Data Analitics Online
A1042,Data Analytcis ,113,4418,$191.55 ,27,10,NA,"$1,634 ",11/9/2024,Hyderabad,Mobile,Data Analytics Course
A1043,Data analytics ,145,3721,$180.95 ,21,7,0.048,"$1,960 ",29-11-2024,Hyderabad,Desktop,Data Analitics Online
A1044,DataAnalytics,197,5783,$204.46 ,23,6,NA,"$1,729 ",1/11/2024,Hyderabad,Tablet,Data Anaytics Training
A1045,DataAnalytics,109,4866,$236.78 ,27,5,NA,"$1,585 ",15-11-2024,Hyderabad,Mobile,Online Data Analytic
A1046,Data analytics ,188,5857,$222.98 ,20,4,0.048,"$1,303 ",11/11/2024,Hyderabad,Desktop,Data Anaytics Training
A1047,Data Analytics ,142,5103,$234.10 ,24,3,0.021,"$1,835 ",11/8/2024,Hyderabad,Mobile,Analytics For Data
A1048,Data Analytcis ,168,4653,$240.84 ,27,9,0.054,"$1,367 ",11/24/2024,Hyderabad,Mobile,Online Data Analytic
A1049,Data Analytcis ,110,3524,$248.86 ,19,10,0.091,"$1,524 ",21-11-2024,Hyderabad,Mobile,Learn Data Analytics
A1050,Data Analytcis ,192,5938,$182.84 ,26,5,0.039,"$1,080 ",11/12/2024,Hyderabad,Mobile,Analytics For Data
A1051,Data Analytics ,101,3942,$206.62 ,16,5,0.05,"$1,746 ",11/24/2024,Hyderabad,Tablet,Analytics For Data
A1052,Data Analytics ,157,3315,$189.56 ,15,10,0.064,"$1,026 ",11/25/2024,Hyderabad,Mobile,Online Data Analytic
A1053,Data analytics ,113,4945,$187.66 ,15,10,NA,"$1,564 ",11/26/2024,Hyderabad,Tablet,Learn Data Analytics
A1054,Data Analytcis ,96,3166,$196.15 ,29,7,0.073,"$1,902 ",26-11-2024,Hyderabad,Desktop,Learn Data Analytics
A1055,Data Analytcis ,125,4223,$183.68 ,15,6,NA,"$1,267 ",11/5/2024,Hyderabad,Desktop,Data Analitics Online
A1056,Data Analytcis ,104,4798,$210.10 ,18,3,NA,"$1,340 ",21-11-2024,Hyderabad,Desktop,Analytics For Data
A1057,Data analytics ,194,5655,$208.58 ,13,6,0.031,"$1,692 ",11/16/2024,Hyderabad,Mobile,Data Anaytics Training
A1058,DataAnalytics,144,5140,$219.48 ,19,8,0.047,"$1,054 ",18-11-2024,Hyderabad,Desktop,Data Analitics Online
A1059,Data Analytics ,179,3025,$238.81 ,17,3,0.017,NA,11/11/2024,Hyderabad,Mobile,Data Analitics Online
A1060,Data Analytics ,166,5223,$189.76 ,18,7,0.042,"$1,219 ",16-11-2024,Hyderabad,Tablet,Data Analytics Course
A1061,Data Analytcis ,166,5089,NA,26,7,0.042,"$1,946 ",11/11/2024,Hyderabad,Tablet,Analytics For Data
A1062,Data analytics ,118,5016,$204.31 ,19,9,0.045,"$1,833 ",11/8/2024,Hyderabad,Desktop,Analytics For Data
A1063,DataAnalytics,185,3617,$222.32 ,24,7,0.038,"$1,963 ",23-11-2024,Hyderabad,Mobile,Data Analytics Course
A1064,Data Analytcis ,116,3764,$232.03 ,28,10,0.086,"$1,348 ",11/20/2024,Hyderabad,Tablet,Data Analytics Course
A1065,Data Analytics ,99,4489,$183.73 ,15,6,0.061,"$1,264 ",11/5/2024,Hyderabad,Desktop,Online Data Analytic
A1066,DataAnalytics,172,4441,$221.18 ,14,8,0.047,"$1,771 ",27-11-2024,Hyderabad,Mobile,Analytics For Data
A1067,Data Analytcis ,138,5751,$199.11 ,26,9,0.052,"$1,337 ",11/10/2024,Hyderabad,Desktop,Data Analitics Online
A1068,Data Analytcis ,84,4036,$234.22 ,23,10,0.119,"$1,287 ",4/11/2024,Hyderabad,Desktop,Learn Data Analytics
A1069,DataAnalytics,124,4942,$240.59 ,18,3,0.024,"$1,922 ",11/16/2024,Hyderabad,Desktop,Learn Data Analytics
A1070,Data Analytcis ,122,4989,$215.48 ,12,5,0.041,"$1,975 ",11/6/2024,Hyderabad,Mobile,Data Analitics Online
A1071,Data Analytics ,180,3006,$228.14 ,22,7,0.039,"$1,556 ",11/4/2024,Hyderabad,Tablet,Learn Data Analytics
A1072,DataAnalytics,133,3728,$199.13 ,11,10,NA,NA,11/9/2024,Hyderabad,Desktop,Data Analitics Online
A1073,DataAnalytics,164,3734,$225.39 ,27,8,0.04,"$1,728 ",12/11/2024,Hyderabad,Tablet,Learn Data Analytics
A1074,Data Analytics ,150,4621,$246.30 ,15,6,0.049,"$1,554 ",11/9/2024,Hyderabad,Desktop,Data Analitics Online
A1075,Data Analytcis ,97,3212,$212.55 ,27,10,0.103,"$1,994 ",23-11-2024,Hyderabad,Desktop,Analytics For Data
A1076,Data analytics ,128,4225,$228.24 ,30,4,0.031,"$1,618 ",11/8/2024,Hyderabad,Mobile,Learn Data Analytics
A1077,Data Analytics ,99,4779,$233.78 ,26,10,0.101,"$1,086 ",11/5/2024,Hyderabad,Desktop,Online Data Analytic
A1078,Data analytics ,86,5352,$234.05 ,11,5,0.058,"$1,364 ",11/9/2024,Hyderabad,Tablet,Online Data Analytic
A1079,Data Analytcis ,118,5405,$187.28 ,25,7,0.058,"$1,836 ",11/5/2024,Hyderabad,Tablet,Analytics For Data
A1080,Data Analytcis ,127,5430,$199.13 ,14,6,0.047,"$1,932 ",11/25/2024,Hyderabad,Mobile,Analytics For Data
A1081,Data Analytics ,83,4808,$241.35 ,20,7,0.084,"$1,038 ",30-11-2024,Hyderabad,Mobile,Learn Data Analytics
A1082,Data Analytcis ,149,3587,$217.53 ,23,8,NA,NA,17-11-2024,Hyderabad,Mobile,Data Analitics Online
A1083,DataAnalytics,168,4683,$215.28 ,30,8,0.048,"$1,327 ",11/28/2024,Hyderabad,Mobile,Data Analitics Online
A1084,DataAnalytics,112,5814,$227.38 ,11,8,0.071,"$1,467 ",11/3/2024,Hyderabad,Tablet,Analytics For Data
A1085,DataAnalytics,123,3292,$233.20 ,28,6,0.049,"$1,174 ",11/19/2024,Hyderabad,Desktop,Data Anaytics Training
A1086,Data analytics ,174,4305,$206.02 ,20,3,0.034,"$1,057 ",11/23/2024,Hyderabad,Desktop,Learn Data Analytics
A1087,Data Analytics ,143,4368,NA,27,7,0.049,"$1,199 ",3/11/2024,Hyderabad,Tablet,Analytics For Data
A1088,Data Analytcis ,195,5935,$209.68 ,23,9,0.046,"$1,966 ",11/7/2024,Hyderabad,Tablet,Online Data Analytic
A1089,DataAnalytics,176,5847,$241.04 ,13,6,0.034,"$1,194 ",11/2/2024,Hyderabad,Desktop,Online Data Analytic
A1090,Data analytics ,141,4851,$227.39 ,28,5,NA,"$1,821 ",11/15/2024,Hyderabad,Desktop,Analytics For Data
A1091,Data Analytics ,108,4710,$204.16 ,19,10,0.093,"$1,731 ",11/20/2024,Hyderabad,Tablet,Data Analitics Online
A1092,Data analytics ,112,3345,NA,11,6,0.047,"$1,859 ",11/23/2024,Hyderabad,Tablet,Analytics For Data
A1093,DataAnalytics,NA,5903,$184.41 ,23,9,NA,"$1,188 ",20-11-2024,Hyderabad,Tablet,Online Data Analytic
A1094,Data Analytcis ,145,5004,$216.45 ,22,5,0.034,"$1,496 ",11/1/2024,Hyderabad,Tablet,Data Analitics Online
A1095,Data analytics ,183,3947,$197.30 ,15,8,0.044,"$1,645 ",11/14/2024,Hyderabad,Desktop,Data Anaytics Training
A1096,DataAnalytics,113,3690,$229.42 ,20,5,0.044,"$1,915 ",11/28/2024,Hyderabad,Tablet,Learn Data Analytics
A1097,Data Analytcis ,101,5943,$187.32 ,27,6,0.059,"$1,614 ",11/15/2024,Hyderabad,Tablet,Data Analitics Online
A1098,DataAnalytics,189,5357,$222.50 ,24,3,0.05,"$1,839 ",11/25/2024,Hyderabad,Tablet,Data Analytics Course
A1099,Data analytics ,154,3596,$236.14 ,30,9,0.058,"$1,036 ",11/6/2024,Hyderabad,Tablet,Online Data Analytic
A1100,Data analytics ,179,5162,$246.76 ,16,5,0.05,"$1,052 ",11/29/2024,Hyderabad,Desktop,Online Data Analytic
A1101,Data Analytics ,148,3747,$244.41 ,18,8,0.054,"$1,092 ",11/17/2024,Hyderabad,Tablet,Learn Data Analytics
A1102,Data analytics ,177,4822,$197.03 ,26,9,0.051,"$1,909 ",11/4/2024,Hyderabad,Mobile,Online Data Analytic
A1103,Data Analytcis ,119,5800,$221.36 ,11,8,NA,NA,29-11-2024,Hyderabad,Desktop,Analytics For Data
A1104,Data Analytcis ,89,3594,NA,14,6,0.067,"$1,026 ",11/15/2024,Hyderabad,Tablet,Data Analytics Course
A1105,Data Analytcis ,146,4765,$230.22 ,23,5,0.034,"$1,944 ",11/28/2024,Hyderabad,Tablet,Analytics For Data
A1106,Data Analytics ,109,4128,$183.65 ,12,5,NA,NA,11/30/2024,Hyderabad,Desktop,Data Analitics Online
A1107,Data analytics ,159,5127,$197.16 ,21,4,0.025,"$1,867 ",11/3/2024,Hyderabad,Tablet,Learn Data Analytics
A1108,Data analytics ,144,5674,$235.36 ,12,3,0.021,"$1,505 ",11/22/2024,Hyderabad,Desktop,Analytics For Data
A1109,Data analytics ,122,3793,$237.22 ,19,8,0.066,"$1,842 ",11/20/2024,Hyderabad,Tablet,Online Data Analytic
A1110,Data Analytics ,112,4315,$235.33 ,28,9,0.08,"$1,116 ",11/8/2024,Hyderabad,Mobile,Data Analytics Course
A1111,DataAnalytics,174,4704,$192.32 ,21,10,0.049,"$1,501 ",11/24/2024,Hyderabad,Mobile,Learn Data Analytics
A1112,Data Analytics ,168,3349,$235.60 ,23,9,0.054,"$1,894 ",11/9/2024,Hyderabad,Mobile,Online Data Analytic
A1113,DataAnalytics,173,3501,$223.90 ,28,10,0.044,"$1,179 ",11/25/2024,Hyderabad,Mobile,Data Analytics Course
A1114,Data Analytics ,91,NA,$203.52 ,NA,9,0.099,"$1,838 ",20-11-2024,Hyderabad,Desktop,Data Analytics Course
A1115,Data Analytcis ,140,5405,$195.69 ,21,8,NA,"$1,094 ",21-11-2024,Hyderabad,Desktop,Data Anaytics Training
A1116,DataAnalytics,93,3425,$229.76 ,26,4,0.043,"$1,344 ",24-11-2024,Hyderabad,Mobile,Online Data Analytic
A1117,Data Analytcis ,114,5263,$189.13 ,23,5,0.044,"$1,434 ",5/11/2024,Hyderabad,Mobile,Data Analytics Course
A1118,Data analytics ,172,3889,NA,21,10,NA,"$1,766 ",11/16/2024,Hyderabad,Tablet,Online Data Analytic
A1119,Data Analytcis ,188,3327,$193.76 ,24,6,0.047,"$1,220 ",3/11/2024,Hyderabad,Tablet,Online Data Analytic
A1120,Data analytics ,117,NA,$214.18 ,29,4,0.034,"$1,348 ",11/23/2024,Hyderabad,Mobile,Learn Data Analytics
A1121,DataAnalytics,113,5471,$215.57 ,27,9,0.038,"$1,123 ",11/23/2024,Hyderabad,Mobile,Analytics For Data
A1122,Data Analytics ,109,3550,$240.33 ,14,8,0.073,"$1,982 ",11/24/2024,Hyderabad,Tablet,Learn Data Analytics
A1123,Data analytics ,174,3178,$225.67 ,18,10,0.057,"$1,140 ",20-11-2024,Hyderabad,Desktop,Data Analitics Online
A1124,DataAnalytics,96,4673,$192.88 ,24,5,0.052,"$1,962 ",11/10/2024,Hyderabad,Mobile,Learn Data Analytics
A1125,Data Analytcis ,110,4254,$187.87 ,11,4,NA,"$1,172 ",11/4/2024,Hyderabad,Mobile,Data Anaytics Training
A1126,Data analytics ,163,3658,$237.63 ,23,7,0.043,"$1,699 ",11/23/2024,Hyderabad,Tablet,Online Data Analytic
A1127,DataAnalytics,161,5319,$235.98 ,13,4,0.025,"$1,423 ",11/18/2024,Hyderabad,Mobile,Learn Data Analytics
A1128,DataAnalytics,195,5278,$193.49 ,30,7,0.047,"$1,456 ",11/4/2024,Hyderabad,Mobile,Data Analytics Course
A1129,Data analytics ,84,3755,$218.88 ,14,9,0.047,"$1,299 ",11/5/2024,Hyderabad,Tablet,Analytics For Data
A1130,Data analytics ,113,4580,$194.82 ,11,6,0.059,"$1,248 ",11/28/2024,Hyderabad,Tablet,Data Analytics Course
A1131,Data Analytics ,117,3809,$225.14 ,12,5,0.032,"$1,495 ",11/9/2024,Hyderabad,Desktop,Data Anaytics Training
A1132,DataAnalytics,135,5118,$219.99 ,27,6,0.044,"$1,089 ",11/20/2024,Hyderabad,Mobile,Online Data Analytic
A1133,Data analytics ,92,5766,$186.14 ,28,7,0.076,"$1,013 ",27-11-2024,Hyderabad,Tablet,Data Anaytics Training
A1134,Data Analytcis ,188,3934,$206.21 ,16,9,0.048,NA,4/11/2024,Hyderabad,Desktop,Data Analytics Course
A1135,Data Analytcis ,101,4724,$228.38 ,13,7,0.034,"$1,243 ",11/20/2024,Hyderabad,Desktop,Learn Data Analytics
A1136,Data analytics ,111,5895,$205.25 ,29,4,0.036,"$1,693 ",11/4/2024,Hyderabad,Mobile,Data Analytics Course
A1137,Data Analytics ,122,4048,$202.23 ,28,10,0.082,NA,26-11-2024,Hyderabad,Mobile,Online Data Analytic
A1138,Data Analytcis ,99,3169,$237.68 ,21,6,NA,"$1,509 ",11/22/2024,Hyderabad,Mobile,Online Data Analytic
A1139,DataAnalytics,154,4535,$229.29 ,11,3,0.019,"$1,434 ",11/1/2024,Hyderabad,Tablet,Data Anaytics Training
A1140,Data analytics ,129,3849,$249.29 ,22,10,0.078,"$1,767 ",11/11/2024,Hyderabad,Desktop,Analytics For Data
A1141,Data Analytcis ,NA,4259,$182.98 ,10,10,0.031,"$1,048 ",16-11-2024,Hyderabad,Mobile,Analytics For Data
A1142,DataAnalytics,143,3628,NA,18,9,0.063,"$1,566 ",17-11-2024,Hyderabad,Tablet,Data Analytics Course
A1143,Data Analytics ,80,3269,NA,12,4,0.05,"$1,753 ",23-11-2024,Hyderabad,Desktop,Data Analitics Online
A1144,Data analytics ,134,3724,$188.02 ,26,9,0.047,"$1,891 ",11/7/2024,Hyderabad,Desktop,Online Data Analytic
A1145,Data analytics ,174,4838,$242.35 ,21,3,0.017,"$1,599 ",11/22/2024,Hyderabad,Desktop,Data Analitics Online
A1146,Data Analytics ,196,4524,$192.01 ,15,8,0.041,"$1,048 ",11/13/2024,Hyderabad,Desktop,Data Analytics Course
A1147,Data Analytics ,194,4694,$228.15 ,17,7,0.036,"$1,874 ",11/14/2024,Hyderabad,Tablet,Learn Data Analytics
A1148,Data Analytics ,180,4326,$221.67 ,13,NA,NA,"$1,427 ",6/11/2024,Hyderabad,Tablet,Online Data Analytic
A1149,Data Analytcis ,100,4235,$222.61 ,10,8,0.051,"$1,814 ",1/11/2024,Hyderabad,Desktop,Data Anaytics Training
A1150,Data analytics ,153,4367,$184.51 ,29,9,0.059,"$1,507 ",11/13/2024,Hyderabad,Mobile,Analytics For Data
A1151,Data analytics ,110,3748,$198.68 ,24,9,0.082,"$1,041 ",5/11/2024,Hyderabad,Tablet,Data Anaytics Training
A1152,Data Analytics ,116,3901,NA,21,4,0.034,"$1,483 ",11/13/2024,Hyderabad,Tablet,Online Data Analytic
A1153,Data Analytics ,156,3335,$236.98 ,29,7,0.045,"$1,143 ",11/14/2024,Hyderabad,Desktop,Data Analytics Course
A1154,Data Analytics ,177,5671,$210.74 ,19,6,0.058,"$1,172 ",25-11-2024,Hyderabad,Tablet,Data Analytics Course
A1155,DataAnalytics,89,3408,$214.78 ,25,9,0.101,"$1,898 ",11/15/2024,Hyderabad,Mobile,Data Analytics Course
A1156,DataAnalytics,155,4422,$183.96 ,14,8,0.037,"$1,143 ",11/15/2024,Hyderabad,Mobile,Analytics For Data
A1157,Data Analytcis ,123,3097,$190.55 ,20,8,0.065,"$1,640 ",11/22/2024,Hyderabad,Tablet,Data Analytics Course
A1158,Data Analytics ,102,3621,$244.82 ,10,5,0.049,"$1,375 ",11/12/2024,Hyderabad,Mobile,Learn Data Analytics
A1159,Data Analytics ,150,4806,$244.53 ,15,9,NA,"$1,602 ",7/11/2024,Hyderabad,Mobile,Data Analitics Online
A1160,Data analytics ,160,NA,$245.87 ,11,6,0.037,NA,11/5/2024,Hyderabad,Desktop,Analytics For Data
A1161,Data analytics ,143,3901,$191.38 ,29,4,0.053,"$1,786 ",11/24/2024,Hyderabad,Mobile,Learn Data Analytics
A1162,Data analytics ,178,4673,$222.46 ,29,6,0.051,"$1,219 ",11/4/2024,Hyderabad,Tablet,Online Data Analytic
A1163,DataAnalytics,152,3542,$208.96 ,13,9,NA,"$1,735 ",11/13/2024,Hyderabad,Desktop,Data Analytics Course
A1164,DataAnalytics,139,4347,$238.19 ,26,5,NA,"$1,384 ",13-11-2024,Hyderabad,Tablet,Analytics For Data
A1165,Data Analytcis ,175,5014,$247.24 ,25,7,0.04,"$1,499 ",15-11-2024,Hyderabad,Mobile,Learn Data Analytics
A1166,Data Analytics ,92,4185,$218.46 ,21,9,0.035,"$1,567 ",11/3/2024,Hyderabad,Mobile,Data Analitics Online
A1167,DataAnalytics,123,5964,NA,17,6,NA,"$1,363 ",11/3/2024,Hyderabad,Desktop,Data Anaytics Training
A1168,Data Analytcis ,86,5124,$183.71 ,13,10,0.116,"$1,137 ",20-11-2024,Hyderabad,Mobile,Data Anaytics Training
A1169,Data analytics ,117,4162,$238.08 ,28,10,0.085,"$1,186 ",11/22/2024,Hyderabad,Mobile,Online Data Analytic
A1170,Data Analytcis ,146,4330,$191.90 ,20,3,0.021,"$1,748 ",11/9/2024,Hyderabad,Mobile,Online Data Analytic
A1171,Data Analytcis ,89,3268,NA,17,4,0.045,"$1,233 ",11/13/2024,Hyderabad,Desktop,Online Data Analytic
A1172,DataAnalytics,195,3483,$213.99 ,27,7,0.036,"$1,796 ",23-11-2024,Hyderabad,Desktop,Learn Data Analytics
A1173,Data Analytcis ,170,4519,$240.63 ,22,7,0.041,"$1,012 ",27-11-2024,Hyderabad,Mobile,Analytics For Data
A1174,Data Analytcis ,97,3605,$240.29 ,21,7,0.045,"$1,682 ",11/10/2024,Hyderabad,Desktop,Data Analitics Online
A1175,Data analytics ,159,5076,$204.97 ,15,10,0.063,"$1,638 ",17-11-2024,Hyderabad,Tablet,Data Analytics Course
A1176,Data analytics ,131,5352,$225.86 ,24,10,NA,"$1,961 ",11/20/2024,Hyderabad,Mobile,Online Data Analytic
A1177,Data Analytics ,108,5503,$185.26 ,11,7,0.065,"$1,921 ",6/11/2024,Hyderabad,Mobile,Data Analitics Online
A1178,DataAnalytics,93,4308,$209.83 ,19,9,0.097,"$1,694 ",11/20/2024,Hyderabad,Mobile,Data Analytics Course
A1179,Data Analytcis ,137,3555,$213.50 ,29,3,NA,NA,11/6/2024,Hyderabad,Desktop,Data Analytics Course
A1180,Data Analytics ,81,5615,$193.14 ,30,6,0.074,"$1,255 ",11/28/2024,Hyderabad,Mobile,Analytics For Data
A1181,Data Analytcis ,160,4743,$206.22 ,23,10,0.062,"$1,825 ",11/20/2024,Hyderabad,Mobile,Learn Data Analytics
A1182,Data analytics ,186,3337,$183.58 ,16,8,0.043,"$1,045 ",11/30/2024,Hyderabad,Desktop,Online Data Analytic
A1183,Data Analytcis ,105,3234,$238.80 ,27,10,0.095,"$1,248 ",11/6/2024,Hyderabad,Desktop,Online Data Analytic
A1184,Data Analytcis ,131,3913,$203.69 ,14,10,NA,"$1,079 ",11/25/2024,Hyderabad,Desktop,Data Anaytics Training
A1185,Data Analytcis ,129,3208,$204.20 ,18,8,0.032,"$1,456 ",11/29/2024,Hyderabad,Desktop,Learn Data Analytics
A1186,Data analytics ,187,5972,$220.64 ,30,7,0.037,"$1,980 ",11/14/2024,Hyderabad,Desktop,Data Analytics Course
A1187,Data Analytics ,167,3662,$235.43 ,10,7,0.042,"$1,684 ",11/25/2024,Hyderabad,Mobile,Data Anaytics Training
A1188,DataAnalytics,140,3359,$182.13 ,29,7,0.045,"$1,973 ",11/28/2024,Hyderabad,Desktop,Data Analitics Online
A1189,Data Analytics ,198,3700,$220.67 ,14,5,NA,"$1,531 ",11/10/2024,Hyderabad,Mobile,Analytics For Data
A1190,Data analytics ,196,3835,$218.07 ,10,9,0.041,"$1,871 ",4/11/2024,Hyderabad,Tablet,Online Data Analytic
A1191,Data Analytics ,140,5638,$208.02 ,22,5,NA,"$1,652 ",11/18/2024,Hyderabad,Desktop,Data Anaytics Training
A1192,Data Analytics ,157,5825,$230.60 ,16,3,0.019,"$1,041 ",11/16/2024,Hyderabad,Desktop,Data Anaytics Training
A1193,Data Analytics ,91,5428,$248.38 ,11,3,0.033,"$1,835 ",22-11-2024,Hyderabad,Tablet,Learn Data Analytics
A1194,Data Analytcis ,140,3571,$238.12 ,21,9,0.064,"$1,762 ",11/16/2024,Hyderabad,Desktop,Learn Data Analytics
A1195,DataAnalytics,154,3638,$182.17 ,11,8,0.056,"$1,413 ",11/4/2024,Hyderabad,Mobile,Online Data Analytic
A1196,Data analytics ,133,4505,$200.52 ,23,3,0.039,"$1,562 ",26-11-2024,Hyderabad,Tablet,Analytics For Data
A1197,Data Analytcis ,NA,5016,$238.59 ,26,9,NA,"$1,620 ",11/20/2024,Hyderabad,Mobile,Data Analitics Online
A1198,Data analytics ,141,3071,$208.20 ,10,6,0.043,"$1,647 ",18-11-2024,Hyderabad,Tablet,Data Analitics Online
A1199,Data analytics ,135,5682,NA,30,3,NA,"$1,445 ",11/15/2024,Hyderabad,Tablet,Data Anaytics Training
A1200,Data Analytics ,199,5067,$247.38 ,24,8,0.059,"$1,365 ",11/19/2024,Hyderabad,Mobile,Analytics For Data
A1201,Data Analytcis ,138,3971,$184.87 ,28,3,0.022,"$1,718 ",11/7/2024,Hyderabad,Tablet,Learn Data Analytics
A1202,Data Analytcis ,175,4481,$236.38 ,21,10,0.057,"$1,257 ",20-11-2024,Hyderabad,Desktop,Data Analytics Course
A1203,Data analytics ,170,5476,$186.29 ,25,4,0.024,"$1,731 ",8/11/2024,Hyderabad,Mobile,Analytics For Data
A1204,Data Analytcis ,138,4426,$203.75 ,24,10,0.072,"$1,838 ",11/5/2024,Hyderabad,Mobile,Data Analytics Course
